id,director
293299,Steve Purcell
289891,Patrick Osborne
270302,Ami Canaan Mann
251852,Lone Scherfig
215211,John Suits
177047,Olivier Dahan
276844,Steven Bernstein
226448,Josh Lawson
255268,Brin Hill
201086,Craig Moss
297596,James Griffiths
193612,Paul Schrader
242310,John Pogue
157849,Paco Cabezas
284296,Anton Corbijn
239566,Chris Rock
282813,Tate Taylor
184346,GrÃ©gory Levasseur
246860,Scott Derrickson
245916,Olivier Assayas
157832,Michael Cuesta
273271,John Michael McDonagh
245906,Bradley King
246741,Peter Bogdanovich
276902,Jemaine Clement|Taika Waititi
254191,Matt Shakman
209276,Leigh Janiak
253312,David Mackenzie
210479,Jack Plotnick
246400,Steven Knight
227735,Iain Forsyth|Jane Pollard
206821,Charles Martin Smith
252830,Peter Glanz
152790,Giorgio Serafini|James Coyne
244536,Phil Alden Robinson
288158,Kat Candler
244517,Tom Harper
203834,John Slattery
145220,Kevin Greutert
290542,James Bobin
263986,George C. Wolfe
239568,Chad Archibald
258750,Scot Armstrong
297608,Kurando Mitsutake
246403,Adam Robitel
243684,Kevin Smith
287426,Jason Reitman
303623,Paul Bettany
228496,Stephen Merchant
276843,Bernard Rose
269173,Andy Hamilton|Guy Jenkin
227300,Noel Clarke
286521,Joe Carnahan
184345,Richard Loncraine
271714,Michael Tiddes
236751,Bill Pohlad
251994,Randall Wallace
256474,John Herzfeld
243568,John Stockwell
145221,Nick Gomez
157823,Tom Green
286875,Kelly Reichardt
242022,Robert Connolly
285733,Damon Beesley|Iain Morris
284294,Karen J. Lloyd
293310,Oren Moverman
283227,Laura Poitras
214314,Alan Rickman
272692,Alastair Fothergill|Keith Scholey
287084,David Jung
188207,Alfonso Gomez-Rejon
157851,Renny Harlin
254474,David Cronenberg
155084,Jordan Rubin
280000,Daniel Stamm
253235,David Campbell
245700,Rob Reiner
258805,Mike Leigh
286873,Huck Botko
290555,Claudio FÃ¤h
313867,David Hayter
255798,Dearbhla Walsh
203739,Joe Dante
157829,Mark Waters
244566,Ned Benson
283686,Jeff Baena
280690,LluÃ­s QuÃ­lez
245473,Sajid Nadiadwala
253310,Paul Hoen
250538,Dan Beers
256731,Philippe Falardeau
312791,Chris Brinker
253272,Trevor Matthews|Jon Knautz
193726,Tony Mahony
